,team1_1Q,team1_2Q,team1_3Q,team1_4Q,team1_F,team2_1Q,team2_2Q,team2_3Q,team2_4Q,team2_F,competitive_score
0,0,10,0,0,10,7,7,14,7,35,7.75
1,3,13,10,7,33,0,7,0,7,14,4.75
2,0,7,6,3,16,0,0,0,7,7,4.25
3,0,0,7,0,7,3,13,7,0,23,4.0
4,0,6,0,10,16,3,10,0,0,13,4.25
5,3,7,7,7,24,0,3,0,0,3,5.25
6,7,7,0,0,14,0,0,0,7,7,5.25
7,0,0,0,7,7,14,3,7,0,24,7.75
8,0,2,7,7,16,0,0,0,6,6,2.5
9,7,3,0,7,17,7,0,0,14,21,2.5
10,0,16,3,13,32,0,0,7,7,14,6.5
11,10,3,7,7,27,0,0,10,0,10,5.75
12,7,14,0,14,35,7,7,3,14,31,2.5
13,7,6,6,0,19,3,7,7,14,31,5.0
14,14,0,10,3,27,0,3,0,7,10,7.75
15,7,13,0,6,26,0,0,7,14,21,8.75
16,7,10,0,0,17,0,10,3,14,27,6.0
17,0,3,6,0,9,7,14,14,3,38,7.25
18,10,6,0,0,16,7,21,10,0,38,7.0
19,13,10,21,2,46,3,0,0,7,10,11.5
20,10,0,0,10,20,7,2,17,13,39,6.25
21,0,35,0,7,42,10,0,0,0,10,13.0
22,0,3,10,3,16,3,0,3,14,20,6.0
23,13,14,14,14,55,3,0,7,0,10,11.25
24,3,9,0,7,19,3,7,7,3,20,3.25
25,0,17,14,6,37,0,0,10,14,24,7.25
26,7,3,7,0,17,14,14,3,21,52,10.75
27,6,0,14,10,30,3,10,0,0,13,9.25
28,7,3,8,8,26,14,14,14,7,49,6.25
29,10,3,7,7,27,0,7,0,10,17,6.0
30,14,0,7,0,21,10,17,8,0,35,5.5
31,7,7,3,7,24,7,10,7,7,31,1.75
32,7,10,0,17,34,3,3,0,13,19,3.75
33,3,6,7,7,23,0,0,6,10,16,3.25
34,7,3,14,10,34,0,0,7,0,7,6.75
35,3,0,0,14,17,0,14,3,3,20,7.75
36,3,0,6,12,21,3,17,14,14,48,6.75
37,0,10,0,19,29,0,14,0,18,32,1.25
38,0,7,7,10,24,0,7,7,7,21,0.75
39,3,0,7,0,10,0,7,7,7,21,4.25
40,6,10,6,7,29,14,0,3,0,17,7.0
41,3,0,0,14,17,0,7,0,7,14,4.25
42,3,14,3,7,27,0,7,0,16,23,5.5
43,0,6,10,15,31,10,0,7,0,17,8.5
44,0,10,7,8,25,14,7,0,10,31,6.5
45,9,0,6,6,21,0,10,7,0,17,6.5
46,7,14,7,6,34,3,3,17,8,31,6.75
47,8,14,14,7,43,0,0,8,0,8,8.75
48,0,14,0,14,28,0,14,10,0,24,6.0
49,0,7,0,3,10,10,3,3,8,24,5.5
50,0,3,6,19,6,0,21,7,0,0,9.5
51,9,13,7,12,41,3,9,14,7,33,5.5
52,0,3,0,10,13,0,0,3,0,3,4.0
53,3,7,10,0,20,7,3,0,21,31,9.75
