temperature,in/ out
72,outdoors
68,outdoors
73,outdoors
61,outdoors
70,outdoors
39,outdoors
84,outdoors
50,outdoors
46,outdoors
57,outdoors
58,outdoors
70,indoors
71,outdoors
67,outdoors
72,indoors
72,indoors
61,outdoors
68,outdoors
53,outdoors
70,indoors
76,outdoors
61,outdoors
76,outdoors
72,indoors
71,outdoors
73,indoors
61,outdoors
72,indoors
76,outdoors
68,outdoors
67,outdoors
67,outdoors
73,outdoors
72,indoors
65,outdoors
72,indoors
81,outdoors
59,outdoors
59,outdoors
68,indoors
67,outdoors
70,indoors
66,outdoors
60,outdoors
52,outdoors
44,outdoors
71,outdoors
49,outdoors
66,outdoors
76,outdoors
76,outdoors
70,outdoors
64,outdoors
64,outdoors
